profile,timestamp,n_markets,n_decisions,n_trades,n_skipped,avg_spread,median_tte_sec,avg_size,pnl_interval
15m_conservative,2026-03-05T08:10:46.390518+00:00,25,1,1,0,0.97372,10079396.896339,1850.46,0.0
15m_conservative,2026-03-05T08:16:28.439684+00:00,25,1,1,0,0.97116,10079048.931833,180.73,0.0
15m_conservative,2026-03-05T08:22:28.084524+00:00,25,1,1,0,0.96828,10078707.095822,29.21,0.0
15m_conservative,2026-03-05T08:28:04.509156+00:00,25,1,1,0,0.96508,10078347.595792,441.73,0.0
15m_conservative,2026-03-05T08:39:38.076943+00:00,25,1,1,0,0.9676,10077652.032379,1850.05,0.0
15m_conservative,2026-03-05T08:45:34.142229+00:00,25,1,1,0,0.96772,10077318.108909,151.69,0.0
15m_conservative,2026-03-05T08:51:15.176694+00:00,25,1,1,0,0.9683200000000001,10076962.794543,375.63,0.0
15m_conservative,2026-03-05T08:56:48.584477+00:00,25,1,1,0,0.9686800000000001,10076621.483169,269.37,0.0
15m_conservative,2026-03-05T09:02:23.771293+00:00,25,1,1,0,0.9636800000000001,10076288.495697,10.19,0.0
15m_conservative,2026-03-05T09:08:21.112538+00:00,25,1,1,0,0.9692000000000001,10075952.622836,1834.04,0.0
